,P7,O1,O2,P8,TIME
2093,4635.385,3990.769,3897.949,4330.769,1606508953.9299
2094,4632.821,3987.692,3891.795,4335.897,1606508953.9378
2095,4631.282,3983.59,3884.615,4332.821,1606508953.9456
2096,4627.179,3983.077,3885.128,4331.282,1606508953.9536
2097,4610.769,3970.769,3877.436,4322.564,1606508953.9614
2098,4608.718,3964.103,3867.692,4309.744,1606508953.9693
2099,4615.385,3967.692,3866.154,4310.256,1606508953.9771
2100,4614.359,3970.769,3872.821,4315.897,1606508953.985
2101,4622.051,3978.462,3885.641,4320.0,1606508953.9929
2102,4632.308,3982.051,3891.282,4323.59,1606508954.0008
2103,4627.692,3974.872,3884.103,4322.051,1606508954.0086
2104,4626.154,3978.462,3885.641,4326.154,1606508954.0163
2105,4625.641,3984.103,3894.359,4333.333,1606508954.0241
2106,4614.359,3978.974,3889.744,4326.667,1606508954.0319
2107,4619.487,3982.051,3884.615,4325.128,1606508954.0397
2108,4631.282,3983.077,3887.692,4334.872,1606508954.0474
2109,4622.051,3972.821,3888.205,4335.897,1606508954.0552
2110,4614.359,3972.308,3885.641,4327.692,1606508954.0629
2111,4623.59,3979.487,3883.59,4328.205,1606508954.0708
2112,4621.026,3974.359,3878.974,4329.231,1606508954.0785
2113,4606.667,3965.128,3871.795,4314.872,1606508954.0863
2114,4607.179,3965.641,3866.154,4297.949,1606508954.094
2115,4625.128,3976.41,3872.821,4300.0,1606508954.1019
2116,4635.385,3991.795,3891.282,4312.821,1606508954.1098
2117,4621.026,3989.231,3894.359,4314.359,1606508954.1177
2118,4604.103,3968.718,3876.41,4307.692,1606508954.1255
2119,4614.872,3967.179,3875.897,4311.795,1606508954.1334
2120,4628.718,3978.974,3886.667,4323.077,1606508954.1412
2121,4619.487,3976.41,3885.128,4324.615,1606508954.1492
2122,4612.821,3972.821,3880.513,4320.513,1606508954.157
2123,4623.59,3979.487,3883.59,4322.051,1606508954.1649
2124,4623.59,3976.923,3885.128,4322.051,1606508954.1727
2125,4612.821,3967.692,3879.487,4312.821,1606508954.1806
2126,4614.872,3968.718,3880.513,4314.359,1606508954.1885
2127,4621.538,3970.256,3886.667,4323.59,1606508954.1962
2128,4617.436,3970.769,3888.718,4321.538,1606508954.204
2129,4616.923,3981.026,3887.179,4318.462,1606508954.2117
2130,4627.179,3988.205,3891.282,4330.769,1606508954.2195
