,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
202,0.249,0.587,0.65,0.701,0.296,0.182,0.376,0.337,0.266,0.189,1606228756.6311
203,0.293,0.493,0.566,0.755,0.246,0.21,0.403,0.307,0.245,0.175,1606228756.7562
204,0.326,0.416,0.482,0.753,0.208,0.232,0.463,0.29,0.221,0.168,1606228756.8811
205,0.335,0.386,0.403,0.69,0.182,0.241,0.557,0.27,0.196,0.164,1606228757.0064
206,0.315,0.4,0.332,0.584,0.169,0.243,0.665,0.24,0.171,0.159,1606228757.1316
207,0.269,0.434,0.268,0.463,0.164,0.248,0.757,0.204,0.148,0.151,1606228757.2569
208,0.211,0.454,0.216,0.357,0.164,0.269,0.814,0.17,0.131,0.141,1606228757.382
209,0.164,0.438,0.175,0.284,0.165,0.305,0.846,0.153,0.122,0.132,1606228757.5075
210,0.138,0.385,0.147,0.249,0.17,0.349,0.865,0.158,0.124,0.128,1606228757.6322
211,0.139,0.316,0.137,0.246,0.183,0.381,0.886,0.19,0.136,0.128,1606228757.7571
212,0.161,0.26,0.147,0.262,0.209,0.39,0.905,0.242,0.152,0.132,1606228757.8826
213,0.19,0.232,0.176,0.281,0.251,0.37,0.907,0.301,0.164,0.137,1606228758.0076
214,0.216,0.238,0.217,0.29,0.313,0.334,0.869,0.351,0.164,0.143,1606228758.1325
215,0.23,0.271,0.259,0.288,0.393,0.295,0.777,0.378,0.151,0.15,1606228758.2581
216,0.714,0.381,0.298,0.367,0.65,0.342,0.216,0.163,0.09,0.211,1606228764.7645
217,0.603,0.393,0.303,0.392,0.545,0.33,0.231,0.166,0.079,0.188,1606228764.8897
218,0.522,0.392,0.278,0.412,0.466,0.314,0.279,0.159,0.074,0.186,1606228765.0148
219,0.479,0.383,0.235,0.419,0.42,0.298,0.347,0.144,0.075,0.198,1606228765.1393
220,0.461,0.373,0.197,0.41,0.404,0.289,0.42,0.127,0.086,0.218,1606228765.2644
221,0.443,0.36,0.185,0.393,0.405,0.291,0.481,0.115,0.107,0.239,1606228765.3897
222,0.411,0.342,0.211,0.387,0.409,0.312,0.52,0.111,0.139,0.252,1606228765.5145
223,0.367,0.32,0.273,0.404,0.404,0.353,0.531,0.12,0.179,0.251,1606228765.6396
224,0.322,0.307,0.353,0.446,0.383,0.411,0.52,0.144,0.224,0.234,1606228765.7648
225,0.284,0.323,0.428,0.496,0.348,0.475,0.499,0.189,0.268,0.205,1606228765.8897
226,0.259,0.38,0.479,0.527,0.305,0.529,0.485,0.263,0.305,0.173,1606228766.0147
227,0.242,0.47,0.494,0.52,0.261,0.556,0.5,0.361,0.329,0.148,1606228766.1402
228,0.228,0.566,0.475,0.47,0.225,0.544,0.575,0.47,0.333,0.137,1606228766.2651
229,0.21,0.635,0.435,0.392,0.198,0.494,0.734,0.573,0.317,0.137,1606228766.3902
230,0.19,0.654,0.393,0.308,0.182,0.42,0.979,0.665,0.283,0.144,1606228766.5156
