,P7,O1,O2,P8,TIME
5366,4649.231,3960.513,3873.846,4331.282,1606956716.9023
5367,4643.59,3957.436,3875.385,4334.872,1606956716.91
5368,4640.513,3958.974,3876.41,4338.974,1606956716.9179
5369,4644.615,3964.103,3879.487,4344.103,1606956716.9256
5370,4637.436,3960.0,3877.949,4344.103,1606956716.9334
5371,4633.846,3955.897,3877.436,4339.487,1606956716.9411
5372,4650.256,3968.718,3888.718,4344.103,1606956716.9489
5373,4657.436,3976.41,3891.795,4348.205,1606956716.9567
5374,4648.205,3972.308,3882.564,4345.128,1606956716.9645
5375,4643.077,3965.641,3876.923,4338.462,1606956716.9722
5376,4656.923,3976.41,3819.487,4354.359,1606956722.4228
5377,4646.154,3969.231,3814.359,4345.128,1606956722.4305
5378,4647.179,3967.179,3810.769,4347.179,1606956722.4383
5379,4655.385,3972.821,3817.949,4360.513,1606956722.4461
5380,4652.308,3976.41,3820.0,4360.513,1606956722.4539
5381,4647.179,3969.744,3812.821,4348.205,1606956722.4616
5382,4651.282,3964.103,3808.205,4343.59,1606956722.4694
5383,4656.923,3973.333,3810.256,4349.744,1606956722.4771
5384,4653.846,3974.872,3809.744,4345.641,1606956722.485
5385,4645.128,3961.538,3806.154,4331.795,1606956722.4927
5386,4647.179,3962.051,3810.256,4332.821,1606956722.5005
5387,4653.846,3967.179,3813.846,4341.538,1606956722.5082
5388,4649.231,3962.564,3811.282,4341.538,1606956722.5161
5389,4642.051,3963.59,3815.897,4341.538,1606956722.524
5390,4645.641,3965.641,3818.462,4344.615,1606956722.5319
5391,4649.744,3959.487,3806.667,4341.026,1606956722.5397
5392,4649.744,3961.538,3805.128,4342.564,1606956722.5476
5393,4653.333,3969.231,3814.359,4349.231,1606956722.5554
5394,4654.359,3968.205,3815.897,4346.154,1606956722.5634
5395,4647.692,3964.615,3815.897,4338.462,1606956722.5712
5396,4640.0,3960.513,3815.385,4336.41,1606956722.5791
5397,4634.872,3954.872,3802.564,4332.308,1606956722.5869
5398,4639.487,3959.487,3798.974,4333.846,1606956722.5948
5399,4649.231,3962.564,3808.205,4338.974,1606956722.6027
5400,4647.179,3956.923,3807.179,4333.846,1606956722.6104
5401,4637.949,3959.487,3803.59,4334.872,1606956722.6182
5402,4644.615,3972.308,3818.974,4355.385,1606956722.6259
5403,4660.0,3977.436,3832.308,4367.179,1606956722.6337
5404,4659.487,3969.744,3820.513,4353.846,1606956722.6415
5405,4656.923,3964.103,3810.769,4344.103,1606956722.6493
5406,4660.0,3964.103,3815.897,4349.744,1606956722.657
5407,4653.333,3965.128,3820.0,4351.795,1606956722.6648
5408,4646.154,3965.641,3820.0,4346.154,1606956722.6725
5409,4653.846,3969.744,3818.974,4341.538,1606956722.6804
5410,4657.949,3972.821,3811.795,4339.487,1606956722.6881
5411,4651.282,3974.359,3810.256,4335.385,1606956722.696
5412,4648.718,3971.282,3812.821,4332.821,1606956722.7038
5413,4648.718,3966.667,3811.795,4338.462,1606956722.7117
5414,4647.692,3967.692,3815.897,4343.077,1606956722.7196
5415,4657.949,3975.897,3823.59,4344.615,1606956722.7275
5416,4667.692,3979.487,3822.051,4347.692,1606956722.7353
5417,4664.615,3973.333,3816.41,4350.256,1606956722.7432
5418,4661.026,3967.179,3814.359,4345.641,1606956722.751
5419,4658.462,3961.538,3812.308,4335.897,1606956722.759
5420,4652.821,3961.026,3810.256,4330.769,1606956722.7668
5421,4655.897,3967.179,3813.333,4335.385,1606956722.7747
5422,4660.513,3965.641,3813.846,4335.385,1606956722.7825
5423,4651.282,3955.897,3799.487,4324.103,1606956722.7902
5424,4651.795,3962.051,3791.795,4324.615,1606956722.7981
5425,4664.615,3975.897,3809.231,4337.949,1606956722.8058
5426,4663.59,3972.308,3821.538,4340.0,1606956722.8136
5427,4649.231,3961.026,3812.308,4332.308,1606956722.8213
5428,4648.718,3961.538,3810.256,4337.949,1606956722.8291
5429,4665.128,3966.154,3815.897,4347.692,1606956722.8369
5430,4677.949,3968.205,3814.872,4347.179,1606956722.8447
5431,4669.231,3964.103,3812.308,4341.026,1606956722.8524
5432,4657.436,3961.026,3810.769,4336.41,1606956722.8603
5433,4654.359,3957.436,3802.564,4324.103,1606956722.8681
5434,4646.154,3949.744,3795.897,4309.744,1606956722.8761
5435,4638.974,3948.718,3798.974,4308.205,1606956722.8839
5436,4647.179,3958.462,3806.667,4313.333,1606956722.8918
5437,4657.436,3964.103,3813.333,4318.974,1606956722.8996
5438,4655.897,3957.949,3814.872,4327.179,1606956722.9075
5439,4653.333,3954.359,3815.385,4334.872,1606956722.9154
5440,4653.846,3956.41,3817.436,4335.897,1606956722.9233
5441,4654.359,3962.051,3821.026,4332.308,1606956722.9311
5442,4661.538,3965.128,3823.077,4329.231,1606956722.939
5443,4661.538,3959.487,3820.513,4331.282,1606956722.9468
5444,4644.103,3954.359,3813.846,4327.692,1606956722.9548
5445,4640.0,3958.974,3810.769,4319.487,1606956722.9626
5446,4652.821,3962.564,3812.821,4317.436,1606956722.9703
5447,4652.308,3958.462,3813.846,4321.026,1606956722.9781
5448,4646.667,3960.0,3819.487,4326.154,1606956722.9858
5449,4657.949,3969.744,3831.795,4334.872,1606956722.9937
5450,4664.103,3968.718,3837.436,4341.026,1606956723.0014
5451,4661.026,3966.667,3834.872,4346.154,1606956723.0092
5452,4661.026,3969.744,3831.795,4349.744,1606956723.0169
5453,4653.333,3961.538,3828.718,4342.051,1606956723.0247
5454,4651.795,3956.41,3824.615,4334.872,1606956723.0325
5455,4663.077,3966.667,3825.641,4337.436,1606956723.0404
5456,4661.538,3967.692,3827.692,4333.333,1606956723.0482
5457,4643.59,3954.359,3821.026,4314.359,1606956723.056
5458,4638.974,3955.385,3819.487,4308.718,1606956723.0637
5459,4648.205,3961.538,3827.179,4323.077,1606956723.0717
5460,4650.256,3958.974,3832.308,4336.41,1606956723.0795
5461,4640.0,3953.846,3831.795,4333.846,1606956723.0874
5462,4638.462,3954.359,3831.795,4328.205,1606956723.0952
5463,4651.795,3958.974,3832.308,4335.897,1606956723.1031
5464,4657.436,3962.051,3832.821,4342.564,1606956723.111
5465,4653.333,3961.026,3829.744,4331.795,1606956723.1189
5466,4645.641,3950.256,3816.923,4311.282,1606956723.1267
5467,4634.872,3941.026,3805.641,4296.923,1606956723.1346
5468,4637.436,3950.256,3812.821,4302.051,1606956723.1424
5469,4648.205,3966.667,3825.641,4317.436,1606956723.1502
5470,4642.564,3963.59,3826.667,4319.487,1606956723.158
5471,4626.154,3942.564,3819.487,4307.692,1606956723.1657
5472,4622.564,3933.333,3814.872,4301.538,1606956723.1735
5473,4631.282,3946.667,3821.538,4312.308,1606956723.1812
5474,4637.949,3955.897,3829.231,4324.615,1606956723.1891
5475,4637.949,3950.256,3827.179,4326.154,1606956723.1968
5476,4636.41,3943.077,3814.359,4315.385,1606956723.2046
5477,4638.462,3947.179,3807.692,4309.231,1606956723.2123
5478,4636.41,3952.821,3813.846,4312.308,1606956723.2201
5479,4638.462,3953.846,3822.564,4316.41,1606956723.2279
5480,4646.154,3955.385,3828.205,4317.436,1606956723.2357
5481,4647.179,3960.0,3830.256,4320.0,1606956723.2434
5482,4635.897,3955.385,3828.205,4321.026,1606956723.2513
5483,4629.231,3947.692,3830.256,4318.462,1606956723.2591
5484,4644.103,3956.41,3839.487,4325.641,1606956723.2671
5485,4656.923,3965.128,3841.026,4337.436,1606956723.2749
5486,4649.744,3954.359,3831.795,4333.333,1606956723.2828
5487,4641.026,3942.051,3827.179,4317.436,1606956723.2906
5488,4645.128,3949.231,3830.769,4317.436,1606956723.2985
5489,4644.615,3957.949,3834.359,4328.205,1606956723.3064
5490,4636.923,3956.41,3833.333,4325.128,1606956723.3143
5491,4641.026,3958.462,3830.769,4313.333,1606956723.3221
5492,4649.744,3967.692,3835.897,4317.436,1606956723.3298
5493,4643.077,3966.667,3841.538,4323.077,1606956723.3376
5494,4637.436,3956.923,3837.949,4316.923,1606956723.3454
5495,4646.154,3955.385,3838.462,4318.462,1606956723.3532
5496,4651.282,3961.538,3848.718,4334.359,1606956723.3609
5497,4647.692,3963.077,3853.333,4343.077,1606956723.3687
5498,4647.692,3962.051,3849.744,4340.0,1606956723.3764
5499,4645.128,3963.077,3849.231,4334.359,1606956723.3843
5500,4640.513,3961.538,3847.692,4329.744,1606956723.392
5501,4642.051,3957.436,3841.026,4327.179,1606956723.3998
5502,4644.615,3961.026,3836.41,4324.615,1606956723.4075
5503,4642.051,3962.564,3831.282,4317.949,1606956723.4153
5504,4639.487,3954.359,3829.744,4309.231,1606956723.4231
5505,4639.487,3952.821,3840.513,4310.769,1606956723.431
5506,4637.436,3954.359,3846.667,4321.026,1606956723.4388
5507,4636.923,3955.385,3843.077,4328.718,1606956723.4467
5508,4645.641,3965.641,3855.385,4334.872,1606956723.4545
5509,4652.821,3969.231,3867.692,4340.513,1606956723.4625
5510,4642.051,3951.795,3850.769,4332.308,1606956723.4703
5511,4632.308,3947.179,3842.051,4325.641,1606956723.4782
5512,4636.41,3956.923,3849.744,4326.154,1606956723.486
5513,4640.0,3951.795,3843.077,4316.41,1606956723.4939
5514,4633.333,3941.538,3825.641,4305.128,1606956723.5018
