,P7,O1,O2,P8,TIME
143,4587.179,3963.59,3879.487,4303.59,1606508899.341
144,4591.282,3966.667,3866.154,4297.436,1606508899.3489
145,4617.436,3958.462,3867.692,4312.821,1606508899.3566
146,4621.538,3964.103,3876.41,4324.103,1606508899.3644
147,4599.487,3965.128,3877.949,4318.462,1606508899.3721
148,4591.282,3955.897,3878.462,4311.282,1606508899.3799
149,4602.564,3962.051,3880.0,4310.769,1606508899.3877
150,4605.641,3966.154,3882.051,4317.436,1606508899.3955
151,4584.615,3946.154,3873.846,4311.795,1606508899.4032
152,4577.436,3948.718,3873.846,4308.718,1606508899.411
153,4603.59,3977.436,3895.897,4333.846,1606508899.4187
154,4622.051,3981.538,3896.923,4348.205,1606508899.4267
155,4611.282,3960.0,3873.846,4325.128,1606508899.4345
156,4583.59,3944.615,3881.538,4307.692,1606508899.4424
157,4570.769,3944.615,3891.282,4308.718,1606508899.4502
158,4591.795,3955.897,3861.538,4295.385,1606508899.4581
159,4605.128,3962.051,3851.795,4285.128,1606508899.466
160,4590.256,3945.641,3866.667,4294.359,1606508899.4739
161,4596.41,3938.462,3859.487,4302.564,1606508899.4817
162,4623.077,3961.026,3862.051,4314.359,1606508899.4896
163,4622.051,3974.359,3881.538,4323.59,1606508899.4974
164,4611.282,3962.564,3883.077,4316.923,1606508899.5054
165,4615.385,3953.333,3877.949,4307.179,1606508899.5132
166,4606.667,3954.359,3874.359,4303.59,1606508899.521
167,4593.333,3959.487,3882.564,4309.744,1606508899.5288
168,4603.59,3961.538,3901.538,4322.564,1606508899.5365
169,4618.462,3961.026,3892.821,4325.641,1606508899.5444
170,4621.026,3970.256,3873.333,4322.051,1606508899.5521
171,4623.59,3978.974,3871.795,4321.538,1606508899.5599
172,4624.615,3972.308,3872.821,4314.359,1606508899.5676
173,4617.436,3971.282,3877.436,4312.821,1606508899.5754
174,4609.231,3965.128,3891.282,4316.41,1606508899.5832
175,4601.026,3949.744,3892.821,4307.692,1606508899.591
176,4595.385,3955.385,3884.103,4300.513,1606508899.5987
177,4612.821,3976.41,3884.103,4311.282,1606508899.6065
178,4633.846,3981.538,3891.795,4325.641,1606508899.6142
179,4628.718,3970.769,3894.872,4327.179,1606508899.6222
180,4620.513,3969.744,3890.256,4322.051,1606508899.63
181,4620.0,3981.538,3892.308,4323.077,1606508899.6379
182,4619.487,3990.769,3903.077,4329.744,1606508899.6457
